,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
379,Regular Season,Sun,2020-11-22,18:00,Köln,0.7,1 2,1.9,Union Berlin,41037.5,RheinEnergieSTADION,Tobias Stieler,1,2
380,Regular Season,Fri,2020-11-27,20:30,Wolfsburg,1.8,5 3,1.0,Werder Bremen,21075.417910447763,Volkswagen Arena,Christian Dingert,5,3
381,Regular Season,Sat,2020-11-28,15:30,RB Leipzig,2.3,2 1,1.3,Arminia,35584.32258064516,Red Bull Arena,Robert Hartmann,2,1
382,Regular Season,Sat,2020-11-28,15:30,Augsburg,0.4,1 1,0.8,Freiburg,25827.93442622951,WWK Arena,Robert Schröder,1,1
383,Regular Season,Sat,2020-11-28,15:30,Dortmund,2.9,1 2,1.6,Köln,67143.86363636363,Signal Iduna Park,Benjamin Brand,1,2
384,Regular Season,Sat,2020-11-28,15:30,Stuttgart,1.8,1 3,1.0,Bayern Munich,44836.25925925926,Mercedes-Benz Arena,Harm Osmers,1,3
385,Regular Season,Sat,2020-11-28,15:30,Union Berlin,2.8,3 3,2.0,Eint Frankfurt,15859.823529411764,Stadion An der Alten Försterei,Tobias Reichel,3,3
386,Regular Season,Sat,2020-11-28,18:30,M'Gladbach,3.1,4 1,1.0,Schalke 04,42866.03076923077,Stadion im Borussia-Park,Manuel Gräfe,4,1
387,Regular Season,Sun,2020-11-29,15:30,Leverkusen,0.7,0 0,0.4,Hertha BSC,25328.171875,BayArena,Daniel Schlager,0,0
388,Regular Season,Sun,2020-11-29,18:00,Mainz 05,1.4,1 1,1.0,Hoffenheim,23826.880597014926,Opel Arena,Sascha Stegemann,1,1
389,Regular Season,Fri,2020-12-04,20:30,Hertha BSC,0.7,3 1,0.3,Union Berlin,40769.19402985075,Olympiastadion Berlin,Felix Brych,3,1
390,Regular Season,Sat,2020-12-05,15:30,Eint Frankfurt,0.8,1 1,1.2,Dortmund,42213.07692307692,Commerzbank-Arena,Guido Winkmann,1,1
391,Regular Season,Sat,2020-12-05,15:30,Freiburg,3.3,2 2,1.3,M'Gladbach,22560.31746031746,Schwarzwald-Stadion,Tobias Stieler,2,2
392,Regular Season,Sat,2020-12-05,15:30,Köln,0.7,2 2,1.6,Wolfsburg,41037.5,RheinEnergieSTADION,Sven Jablonski,2,2
393,Regular Season,Sat,2020-12-05,15:30,Arminia,0.8,2 1,2.0,Mainz 05,16144.388888888889,SchücoArena,Marco Fritz,2,1
394,Regular Season,Sat,2020-12-05,18:30,Bayern Munich,1.2,3 3,1.5,RB Leipzig,65955.64516129032,Allianz Arena,Daniel Siebert,3,3
395,Regular Season,Sun,2020-12-06,15:30,Werder Bremen,0.8,1 2,2.3,Stuttgart,38676.5,Weserstadion,Frank Willenborg,1,2
